iter	Passed	Remaining
832	29342	5882
833	29373	5846
834	29415	5812
835	29454	5778
836	29494	5743
837	29533	5709
838	29567	5673
839	29603	5638
840	29638	5603
841	29681	5569
842	29724	5535
843	29765	5501
844	29805	5467
845	29836	5431
846	29866	5395
847	29899	5359
848	29935	5324
849	29976	5289
850	30018	5255
851	30054	5220
852	30084	5184
853	30118	5149
854	30150	5113
855	30185	5077
856	30218	5042
857	30250	5006
858	30283	4970
859	30313	4934
860	30345	4898
861	30379	4863
862	30411	4827
863	30443	4792
864	30475	4756
865	30508	4720
866	30540	4684
867	30573	4649
868	30603	4613
869	30636	4577
870	30668	4542
871	30698	4506
872	30729	4470
873	30760	4434
874	30792	4398
875	30824	4363
876	30858	4327
877	30892	4292
878	30926	4257
879	30959	4221
880	30991	4186
881	31023	4150
882	31053	4114
883	31083	4078
884	31114	4043
885	31144	4007
886	31177	3971
887	31210	3936
888	31240	3900
889	31272	3865
890	31304	3829
891	31336	3794
892	31369	3758
893	31399	3723
894	31435	3687
895	31466	3652
896	31501	3617
897	31532	3581
898	31564	3546
899	31595	3510
900	31628	3475
901	31658	3439
902	31689	3404
903	31722	3368
904	31754	3333
905	31786	3297
906	31815	3262
907	31846	3226
908	31878	3191
909	31908	3155
910	31939	3120
911	31971	3084
912	32005	3049
913	32038	3014
914	32069	2979
915	32101	2943
916	32135	2908
917	32171	2873
918	32202	2838
919	32235	2803
920	32267	2767
921	32297	2732
922	32339	2697
923	32383	2663
924	32429	2629
925	32490	2596
926	32548	2563
927	32587	2528
928	32636	2494
929	32680	2459
930	32737	2426
931	32807	2393
932	32863	2359
933	32914	2325
934	32955	2291
935	32989	2255
936	33023	2220
937	33057	2185
938	33098	2150
939	33133	2114
940	33172	2079
941	33207	2044
942	33237	2009
943	33271	1973
944	33320	1939
945	33371	1904
946	33430	1870
947	33470	1835
948	33510	1800
949	33544	1765
950	33582	1730
951	33627	1695
952	33663	1660
953	33695	1624
954	33727	1589
955	33759	1553
956	33790	1518
957	33825	1482
958	33860	1447
959	33897	1412
960	33943	1377
961	33980	1342
962	34012	1306
963	34044	1271
964	34075	1235
965	34106	1200
966	34139	1165
967	34170	1129
968	34201	1094
969	34233	1058
970	34264	1023
971	34295	987
972	34328	952
973	34360	917
974	34394	881
975	34425	846
976	34456	811
977	34489	775
978	34518	740
979	34551	705
980	34582	669
981	34615	634
982	34650	599
983	34682	563
984	34713	528
985	34746	493
986	34780	458
987	34812	422
988	34845	387
989	34875	352
990	34906	317
991	34940	281
992	34976	246
993	35009	211
994	35041	176
995	35073	140
996	35102	105
997	35134	70
998	35163	35
999	35198	0
